# ------------------------------------------------------------
# VO Data Model Summary
#   + Maps Spectral2.0 model element to Specturm1.1 Utypes
# ------------------------------------------------------------
Title=Spectrum Version 1.1
Name=Spectrum-1.1
Prefix=spec
URL=http://www.ivoa.net/xml/Spectrum/Spectrum-1.1.xsd
#
#
# Model Path                                                                                                                    & Type                     & Tag                                                                    & UCD                                           & Default                   & Unit                 & Description                              & REQ  
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  SpectralDataset_Characterization_CharacterizationAxes[].CharacterizationAxis_SamplingPrecision_SamplingPrecisionRefVal_FillFactor & Double               & Spectrum.Char.CharAxis.SamplingPrecision.SamplingPrecisionRefVal.FillFactor &                                          &                           &                      &                                          & OPT  
#
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis                                                          & FluxCharAxis             & Spectrum.Char.FluxAxis                                                 &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Name                                                     & String                   & Spectrum.Char.FluxAxis.Name                                            &                                               & Flux                      &                      & name for flux                            & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_UCD                                                      & String                   & Spectrum.Char.FluxAxis.ucd                                             & meta.ucd                                      &                           &                      & ucd for flux                             & MAN  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Unit                                                     & String                   & Spectrum.Char.FluxAxis.unit                                            & meta.unit                                     &                           &                      & Unit for flux                            & MAN  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Calibration                                              & String                   & Spectrum.Char.FluxAxis.Calibration                                     &                                               & CALIBRATED                &                      & Type of coord calibration                & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Resolution                                               & Double                   & Spectrum.Char.FluxAxis.Resolution                                      &                                               &                           &                      & resolution of axis                       & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Accuracy                                                 & Accuracy                 & Spectrum.Char.FluxAxis.Accuracy                                        &                                               &                           &                      &                                          &      
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Accuracy_BinLow                                          & Double                   & Spectrum.Char.FluxAxis.Accuracy.BinLow                                 &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Accuracy_BinHigh                                         & Double                   & Spectrum.Char.FluxAxis.Accuracy.BinHigh                                &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Accuracy_BinSize                                         & Double                   & Spectrum.Char.FluxAxis.Accuracy.BinSize                                &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Accuracy_StatError                                       & Double                   & Spectrum.Char.FluxAxis.Accuracy.StatError                              & stat.error;phot.flux.density;em.*             & NaN                       &                      & error                                    & REC  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Accuracy_StatErrLow                                      & Double                   & Spectrum.Char.FluxAxis.Accuracy.StatErrLow                             &                                               &                           &                      &                                          & OPT  
  SpectralDataset_Characterization_CharacterizationAxes[].FluxCharAxis_Accuracy_StatErrHigh                                     & Double                   & Spectrum.Char.FluxAxis.Accuracy.StatErrHigh                            &                                               &                           &                      &                                          & OPT  
